bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win,regime_viterbi,regime_smoothed_prob,regime_prob_BREAKOUT,regime_prob_PULLBACK,regime_prob_CHOPZONE,regime_prob_COMPRESSION
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,WIN,3.0,16,1,PULLBACK,0.9999637705988521,2.3314118704981446e-07,0.9999637705988521,3.585049932259332e-05,1.4576063826815384e-07
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,LOSS,-0.5,2,0,PULLBACK,0.9999193626759397,1.7249918153321977e-07,0.9999193626759397,8.035693551994314e-05,1.0788935892125422e-07
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,WIN,3.0,16,1,PULLBACK,0.999825032217117,1.306078004848324e-07,0.999825032217117,0.00017475541935385477,8.175572859824962e-08
147,S9_2,2,ascending,converging,0.2116,7.42722,high,other,2965.59,2965.67,2964.68,LOSS,-0.5,2,0,PULLBACK,0.9996279525187837,1.0114542172105261e-07,0.9996279525187837,0.00037188287065733386,6.346513720585561e-08
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0,PULLBACK,0.9990065414913424,1.9722792261878436e-07,0.9990065414913424,0.000993128132833178,1.331479018434497e-07
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0,PULLBACK,0.9968789538502549,1.704351813753674e-07,0.9968789538502549,0.003120416122685235,4.595918784813792e-07
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0,PULLBACK,0.9596899267017454,1.1877844267722876e-07,0.9596899267017454,0.04029923689517923,1.0717624632736306e-05
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0,PULLBACK,0.7383020469212995,6.861372712449924e-08,0.7383020469212995,0.26153014633037036,0.00016773813460305644
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0,CHOPZONE,0.6634523859984501,2.2464365182039175e-08,0.33559180210241085,0.6634523859984501,0.0009557894347737835
167,S10_2,2,ascending,diverging,0.3292,7.35579,high,other,3010.99,3014.47,3009.23,LOSS,-0.5,1,0,CHOPZONE,0.9030826608308052,4.38501792982739e-09,0.09115638970586382,0.9030826608308052,0.005760945078312998
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1,CHOPZONE,0.7702300751946146,1.497692775429332e-10,0.006547482617212889,0.7702300751946146,0.2232224420384032
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,LOSS,-0.5,2,0,CHOPZONE,0.5962669635803175,6.367185828390182e-10,0.030528951794444033,0.5962669635803175,0.3732040839885199
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1,PULLBACK,0.9954406146042141,0.004557006081820483,0.9954406146042141,1.8636695735443645e-06,5.156443919282554e-07
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1,PULLBACK,0.9964751646462434,0.0035246602618717498,0.9964751646462434,1.3321901863061482e-07,4.187286632881599e-08
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1,PULLBACK,0.9955834164842141,0.004416408429328556,0.9955834164842141,1.4925775982560066e-07,2.5828697566368e-08
172,S11_2,2,ascending,converging,0.4078,6.47456,high,other,2995.79,2996.72,2992.66,WIN,3.0,4,1,PULLBACK,0.9934515383073359,0.006548280656949771,0.9934515383073359,1.650892543961304e-07,1.59464599351819e-08
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0,PULLBACK,0.9734853262699695,0.02651454560543055,0.9734853262699695,1.2640447643781016e-07,1.7201234989272319e-09
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0,PULLBACK,0.9592820246824804,0.04071786678873239,0.9592820246824804,1.072290887937085e-07,1.2996984485895939e-09
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0,PULLBACK,0.9404874756421486,0.05951243303603413,0.9404874756421486,9.028600440244305e-08,1.0358128026799806e-09
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0,PULLBACK,0.9081402901049384,0.09185964302818193,0.9081402901049384,6.609692965455466e-08,7.699499500746854e-10
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0,PULLBACK,0.8678558496662371,0.1321441054618327,0.8678558496662371,4.428171708309073e-08,5.902131970143324e-10
180,S12_2,2,ascending,diverging,0.6775,6.68433,high,london,3034.34,3037.45,3031.11,LOSS,-0.5,1,0,PULLBACK,0.8448769084376075,0.15512248592821287,0.8448769084376075,6.033775487535424e-07,2.256630871984389e-09
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1,CHOPZONE,0.9951256040903849,6.415544197388103e-08,0.003778215970034435,0.9951256040903849,0.0010961157841387595
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,LOSS,-0.5,1,0,CHOPZONE,0.9994690404741366,8.746256104009362e-10,0.0001369938083191275,0.9994690404741366,0.00039396484291859404
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1,CHOPZONE,0.9993966042764845,2.757649021467811e-10,0.00010391935528137285,0.9993966042764845,0.0004994760924692446
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1,CHOPZONE,0.9993358727223599,1.1159578737086821e-10,9.715931282579971e-05,0.9993358727223599,0.0005669678532185567
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1,CHOPZONE,0.9993353889054704,5.259540823477044e-11,0.00010897968461128569,0.9993353889054704,0.000555631357322991
199,S13_2,2,ascending,converging,0.2088,5.63555,low,other,3011.1,3011.26,3009.08,WIN,3.0,3,1,CHOPZONE,0.9982058830797297,1.5054397408461017e-10,0.000967050309606006,0.9982058830797297,0.0008270664601203342
