sequence_id,n_legs,trend,shape,efficiency_ratio,start_idx,end_idx
S5_3,3,ascending,converging,0.3749,63,82
S6_3,3,descending,diverging,0.93,73,104
S7_3,3,ascending,diverging,1.1209,79,125
S8_3,3,descending,converging,0.1684,82,147
S9_3,3,ascending,diverging,0.5535,104,167
S10_3,3,descending,converging,0.0803,125,172
S11_3,3,ascending,converging,0.6385,147,180
S12_3,3,descending,diverging,0.1059,167,199
S13_3,3,ascending,converging,0.3735,172,203
S14_3,3,ascending,converging,0.3625,180,219
S15_3,3,ascending,converging,1.7293,199,220
S16_3,3,ascending,converging,0.4398,203,228
S17_3,3,ascending,converging,0.4433,219,235
S18_3,3,descending,converging,0.6954,220,247
S19_3,3,ascending,diverging,0.9733,228,253
S20_3,3,descending,diverging,0.6306,235,268
S21_3,3,ascending,converging,0.2892,247,284
S22_3,3,descending,converging,0.5268,253,292
S23_3,3,ascending,diverging,1.1818,268,323
S24_3,3,ascending,converging,1.0952,284,333
S25_3,3,ascending,converging,0.3698,292,335
S26_3,3,descending,diverging,2.365,323,348
S27_3,3,descending,diverging,0.1828,333,353
S28_3,3,descending,converging,0.3865,335,359
S29_3,3,ascending,diverging,1.3122,348,378
S30_3,3,ascending,diverging,0.3736,353,384
S31_3,3,ascending,converging,0.3343,359,399
S32_3,3,descending,converging,0.4104,378,412
S33_3,3,ascending,diverging,0.9333,384,428
S34_3,3,ascending,diverging,0.2239,399,431
S35_3,3,ascending,converging,0.3458,412,436
S36_3,3,descending,diverging,0.9706,428,459
S37_3,3,descending,diverging,0.2767,431,467
S38_3,3,descending,converging,0.3989,436,472
S39_3,3,ascending,diverging,0.6458,459,480
S40_3,3,descending,converging,0.2196,467,487
S0_4,4,descending,converging,0.3245,7,59
S1_4,4,descending,diverging,0.6431,30,63
S2_4,4,ascending,diverging,0.0373,32,73
S3_4,4,ascending,diverging,0.3188,38,79
S4_4,4,ascending,converging,0.2507,59,82
S5_4,4,ascending,converging,0.0348,63,104
S6_4,4,ascending,diverging,0.1292,73,125
S7_4,4,ascending,diverging,0.0298,79,147
S8_4,4,ascending,diverging,0.3113,82,167
S9_4,4,ascending,converging,0.3101,104,172
S10_4,4,ascending,diverging,0.4147,125,180
S11_4,4,ascending,converging,0.2999,147,199
S12_4,4,ascending,diverging,0.2673,167,203
S13_4,4,ascending,converging,0.5112,172,219
S14_4,4,ascending,converging,0.5861,180,220
S15_4,4,ascending,diverging,0.7998,199,228
S16_4,4,ascending,converging,0.6325,203,235
S17_4,4,descending,diverging,0.0983,219,247
S18_4,4,ascending,diverging,0.069,220,253
S19_4,4,descending,diverging,0.1831,228,268
S20_4,4,descending,diverging,0.0377,235,284
S21_4,4,ascending,converging,0.0193,247,292
S22_4,4,ascending,diverging,0.3463,253,323
S23_4,4,ascending,converging,1.0053,268,333
S24_4,4,ascending,converging,1.197,284,335
S25_4,4,ascending,converging,0.1477,292,348
S26_4,4,descending,diverging,0.6706,323,353
S27_4,4,descending,diverging,0.6341,333,359
S28_4,4,ascending,diverging,0.2668,335,378
S29_4,4,ascending,diverging,0.4895,348,384
S30_4,4,ascending,diverging,0.8765,353,399
S31_4,4,ascending,converging,0.1661,359,412
S32_4,4,ascending,diverging,0.3435,378,428
S33_4,4,ascending,converging,0.4688,384,431
S34_4,4,ascending,converging,0.4933,399,436
S35_4,4,ascending,converging,0.017,412,459
S36_4,4,descending,converging,0.5601,428,467
S37_4,4,descending,diverging,0.6405,431,472
S38_4,4,descending,converging,0.0946,436,480
S39_4,4,ascending,diverging,0.0175,459,487
S0_5,5,descending,converging,0.3589,7,63
S1_5,5,ascending,diverging,0.3742,30,73
S2_5,5,descending,converging,0.2824,32,79
S3_5,5,ascending,diverging,1.0388,38,82
S4_5,5,descending,diverging,0.219,59,104
S5_5,5,ascending,converging,0.3121,63,125
S6_5,5,descending,diverging,0.285,73,147
S7_5,5,ascending,diverging,0.9169,79,167
S8_5,5,ascending,converging,0.1072,82,172
S9_5,5,ascending,diverging,0.4785,104,180
S10_5,5,ascending,diverging,0.0948,125,199
S11_5,5,ascending,converging,0.3848,147,203
S12_5,5,ascending,diverging,0.5994,167,219
S13_5,5,ascending,converging,0.5968,172,220
S14_5,5,ascending,converging,0.1918,180,228
S15_5,5,ascending,converging,0.9614,199,235
S16_5,5,ascending,converging,0.2805,203,247
S17_5,5,ascending,diverging,0.4488,219,253
S18_5,5,descending,diverging,0.4625,220,268
S19_5,5,ascending,diverging,0.2941,228,284
S20_5,5,descending,converging,0.2791,235,292
S21_5,5,ascending,diverging,0.5655,247,323
S22_5,5,ascending,converging,0.271,253,333
