bar_index,sequence_id,n_legs,trend,shape,efficiency_ratio,atr_at_event,volatility_regime,session,close_price,high_price,low_price,label_outcome,label_pnl_atr,label_bars_to_outcome,label_win
284,S22_2,2,descending,converging,0.3233,7.38714,high,other,3076.38,3076.74,3075.57,LOSS,-0.5,7,0
292,S23_2,2,ascending,converging,0.4125,6.32583,low,other,3059.52,3060.62,3058.95,WIN,3.0,10,1
292,S23_2,2,ascending,converging,0.4125,6.32583,low,other,3059.52,3060.62,3058.95,LOSS,-0.5,3,0
292,S23_2,2,ascending,converging,0.4125,6.32583,low,other,3059.52,3060.62,3058.95,WIN,3.0,10,1
292,S23_2,2,ascending,converging,0.4125,6.32583,low,other,3059.52,3060.62,3058.95,LOSS,-0.5,3,0
292,S23_2,2,ascending,converging,0.4125,6.32583,low,other,3059.52,3060.62,3058.95,WIN,3.0,10,1
292,S23_2,2,ascending,converging,0.4125,6.32583,low,other,3059.52,3060.62,3058.95,LOSS,-0.5,3,0
323,S24_2,2,ascending,diverging,1.3684,5.97645,low,london,3135.01,3139.3,3134.14,LOSS,-0.5,1,0
323,S24_2,2,ascending,diverging,1.3684,5.97645,low,london,3135.01,3139.3,3134.14,LOSS,-0.5,1,0
323,S24_2,2,ascending,diverging,1.3684,5.97645,low,london,3135.01,3139.3,3134.14,LOSS,-0.5,1,0
323,S24_2,2,ascending,diverging,1.3684,5.97645,low,london,3135.01,3139.3,3134.14,LOSS,-0.5,1,0
323,S24_2,2,ascending,diverging,1.3684,5.97645,low,london,3135.01,3139.3,3134.14,LOSS,-0.5,1,0
323,S24_2,2,ascending,diverging,1.3684,5.97645,low,london,3135.01,3139.3,3134.14,LOSS,-0.5,1,0
333,S25_2,2,ascending,converging,0.3616,5.78763,low,other,3134.83,3139.25,3131.15,LOSS,-0.5,2,0
333,S25_2,2,ascending,converging,0.3616,5.78763,low,other,3134.83,3139.25,3131.15,LOSS,-0.5,2,0
333,S25_2,2,ascending,converging,0.3616,5.78763,low,other,3134.83,3139.25,3131.15,LOSS,-0.5,2,0
333,S25_2,2,ascending,converging,0.3616,5.78763,low,other,3134.83,3139.25,3131.15,LOSS,-0.5,2,0
333,S25_2,2,ascending,converging,0.3616,5.78763,low,other,3134.83,3139.25,3131.15,LOSS,-0.5,2,0
333,S25_2,2,ascending,converging,0.3616,5.78763,low,other,3134.83,3139.25,3131.15,LOSS,-0.5,2,0
335,S26_2,2,ascending,diverging,0.8201,5.73684,low,other,3140.65,3143.39,3139.95,LOSS,-0.5,3,0
335,S26_2,2,ascending,diverging,0.8201,5.73684,low,other,3140.65,3143.39,3139.95,LOSS,-0.5,3,0
335,S26_2,2,ascending,diverging,0.8201,5.73684,low,other,3140.65,3143.39,3139.95,LOSS,-0.5,3,0
335,S26_2,2,ascending,diverging,0.8201,5.73684,low,other,3140.65,3143.39,3139.95,LOSS,-0.5,3,0
335,S26_2,2,ascending,diverging,0.8201,5.73684,low,other,3140.65,3143.39,3139.95,LOSS,-0.5,3,0
335,S26_2,2,ascending,diverging,0.8201,5.73684,low,other,3140.65,3143.39,3139.95,LOSS,-0.5,3,0
348,S27_2,2,descending,diverging,1.3742,5.75416,low,london,3107.53,3108.83,3105.68,LOSS,-0.5,2,0
348,S27_2,2,descending,diverging,1.3742,5.75416,low,london,3107.53,3108.83,3105.68,LOSS,-0.5,2,0
348,S27_2,2,descending,diverging,1.3742,5.75416,low,london,3107.53,3108.83,3105.68,WIN,3.0,3,1
348,S27_2,2,descending,diverging,1.3742,5.75416,low,london,3107.53,3108.83,3105.68,WIN,3.0,3,1
348,S27_2,2,descending,diverging,1.3742,5.75416,low,london,3107.53,3108.83,3105.68,WIN,3.0,3,1
348,S27_2,2,descending,diverging,1.3742,5.75416,low,london,3107.53,3108.83,3105.68,WIN,3.0,3,1
353,S28_2,2,descending,converging,0.2556,5.71243,low,other,3123.23,3126.35,3121.23,LOSS,-0.5,7,0
353,S28_2,2,descending,converging,0.2556,5.71243,low,other,3123.23,3126.35,3121.23,LOSS,-0.5,7,0
353,S28_2,2,descending,converging,0.2556,5.71243,low,other,3123.23,3126.35,3121.23,LOSS,-0.5,7,0
353,S28_2,2,descending,converging,0.2556,5.71243,low,other,3123.23,3126.35,3121.23,LOSS,-0.5,0,0
353,S28_2,2,descending,converging,0.2556,5.71243,low,other,3123.23,3126.35,3121.23,LOSS,-0.5,0,0
353,S28_2,2,descending,converging,0.2556,5.71243,low,other,3123.23,3126.35,3121.23,LOSS,-0.5,0,0
359,S29_2,2,ascending,converging,0.2311,5.82913,low,other,3113.67,3116.09,3110.92,WIN,3.0,7,1
359,S29_2,2,ascending,converging,0.2311,5.82913,low,other,3113.67,3116.09,3110.92,LOSS,-0.5,1,0
359,S29_2,2,ascending,converging,0.2311,5.82913,low,other,3113.67,3116.09,3110.92,LOSS,-0.5,1,0
359,S29_2,2,ascending,converging,0.2311,5.82913,low,other,3113.67,3116.09,3110.92,LOSS,-0.5,1,0
359,S29_2,2,ascending,converging,0.2311,5.82913,low,other,3113.67,3116.09,3110.92,WIN,3.0,7,1
359,S29_2,2,ascending,converging,0.2311,5.82913,low,other,3113.67,3116.09,3110.92,WIN,3.0,7,1
378,S30_2,2,ascending,diverging,1.6905,7.16842,high,other,3181.08,3183.51,3179.6,LOSS,-0.5,1,0
378,S30_2,2,ascending,diverging,1.6905,7.16842,high,other,3181.08,3183.51,3179.6,LOSS,-0.5,1,0
378,S30_2,2,ascending,diverging,1.6905,7.16842,high,other,3181.08,3183.51,3179.6,LOSS,-0.5,1,0
378,S30_2,2,ascending,diverging,1.6905,7.16842,high,other,3181.08,3183.51,3179.6,LOSS,-0.5,1,0
378,S30_2,2,ascending,diverging,1.6905,7.16842,high,other,3181.08,3183.51,3179.6,LOSS,-0.5,1,0
378,S30_2,2,ascending,diverging,1.6905,7.16842,high,other,3181.08,3183.51,3179.6,LOSS,-0.5,1,0
384,S31_2,2,ascending,converging,0.212,7.16919,high,other,3147.19,3147.46,3144.38,WIN,3.0,3,1
384,S31_2,2,ascending,converging,0.212,7.16919,high,other,3147.19,3147.46,3144.38,WIN,3.0,3,1
384,S31_2,2,ascending,converging,0.212,7.16919,high,other,3147.19,3147.46,3144.38,WIN,3.0,3,1
384,S31_2,2,ascending,converging,0.212,7.16919,high,other,3147.19,3147.46,3144.38,WIN,3.0,3,1
384,S31_2,2,ascending,converging,0.212,7.16919,high,other,3147.19,3147.46,3144.38,WIN,3.0,3,1
384,S31_2,2,ascending,converging,0.212,7.16919,high,other,3147.19,3147.46,3144.38,WIN,3.0,3,1
399,S32_2,2,descending,converging,0.0731,7.52553,high,london,3179.27,3179.47,3177.76,LOSS,-0.5,16,0
