bar_index,entry_regime,pnl_pct,r_multiple,exit_reason
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,CHOPZONE,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,PULLBACK,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
73,BREAKOUT,-0.0010728496225998765,-1.0,LOSS
